"COUNT","Crash ID","DrvPassOthr","Road User Sex","Road User Age","Road User Injury","Road User Role","Road User Driver at Fault","Road User Ethnicity"
1,201000099,Passenger,Female, 26,Serious,2,">1 party, dvr part fault",Asian
1,201000099,Passenger,Female,,Serious,2,">1 party, dvr part fault",Asian
1,201000099,Passenger,Male, 26,Fatal,2,">1 party, dvr part fault",Asian
1,201000099,Passenger,Male, 29,Serious,2,">1 party, dvr part fault",Asian
1,201000100,Driver,Female, 59,Serious,2,">1 party, no dvr fault",European
1,201000100,Driver,Male, 28,Fatal,1,">1 party, dvr prime fault",European
1,201000100,Driver,Male, 38,Not injured,3,">1 party, no dvr fault",European
1,201000100,Passenger,Male, 26,Serious,1,">1 party, dvr prime fault",Unknown
1,201000100,Passenger,Male, 60,Minor,2,">1 party, no dvr fault",European
1,201000101,Driver,Male, 16,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000101,Passenger,Female, 12,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000102,Driver,Male, 27,Fatal,1,"1 veh, dvr at fault",European
1,201000103,Driver,Male, 46,Fatal,1,"1 veh, dvr at fault",European
1,201000104,Driver,Male, 46,Minor,2,">1 party, no dvr fault",European
1,201000104,Driver,Male, 53,Fatal,1,">1 party, dvr prime fault",European
1,201000105,Driver,Female, 22,Fatal,1,"1 veh, dvr at fault",European
1,201000105,Passenger,Male,  2,Minor,1,"1 veh, dvr at fault",European
1,201000106,Driver,Female, 48,Not injured,6,">1 party, no dvr fault",NZ Maori
1,201000106,Driver,Female, 53,Not injured,4,">1 party, no dvr fault",European
1,201000106,Driver,Male, 26,Not injured,5,">1 party, no dvr fault",European
1,201000106,Driver,Male, 40,Not injured,2,">1 party, no dvr fault",Asian
1,201000106,Driver,Male, 87,Fatal,1,">1 party, dvr prime fault",European
1,201000106,Driver,Male,,Not injured,3,">1 party, no dvr fault",Unknown
1,201000106,Passenger,Female, 65,Fatal,1,">1 party, dvr prime fault",Unknown
2,201000106,Passenger,Female,,Minor,4,">1 party, no dvr fault",Unknown
1,201000107,Driver,Male, 18,Not injured,1,"1 veh, dvr at fault",NZ Maori
1,201000107,Passenger,Male, 15,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000107,Passenger,Male, 16,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000107,Passenger,Male, 17,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000107,Passenger,Male, 18,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000107,Passenger,Male, 20,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000108,Driver,Female, 18,Fatal,1,">1 party, dvr prime fault",Unknown
1,201000108,Driver,Male, 49,Minor,2,">1 party, no dvr fault",NZ Maori
3,201000108,Passenger,Female, 17,Serious,1,">1 party, dvr prime fault",NZ Maori
1,201000108,Passenger,Female, 18,Minor,1,">1 party, dvr prime fault",NZ Maori
1,201000108,Passenger,Male, 51,Minor,2,">1 party, no dvr fault",European
1,201000109,Driver,Male, 16,Serious,1,">1 party, no dvr fault",European
1,201000109,Driver,Male, 20,Minor,2,">1 party, dvr prime fault",NZ Maori
1,201000109,Passenger,Male, 25,Fatal,2,">1 party, dvr prime fault",European
1,201000109,Passenger,Male, 25,Fatal,2,">1 party, dvr prime fault",NZ Maori
1,201000109,Passenger,Male,,Serious,2,">1 party, dvr prime fault",Fijian
1,201000109,Passenger,Male,,Serious,2,">1 party, dvr prime fault",NZ Maori
1,201000110,Driver,Female, 68,Fatal,1,">1 party, dvr prime fault",European
1,201000110,Driver,Male, 19,Minor,2,">1 party, no dvr fault",European
1,201000111,Driver,Female, 62,Fatal,1,"1 veh, dvr at fault",European
1,201000112,Driver,Male, 17,Serious,1,"1 veh, no dvr fault",European
2,201000112,Passenger,Female, 16,Serious,1,"1 veh, no dvr fault",Unknown
