"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT",,"EASTING","NORTHING"
"EIGHTEENTH AVENUE","100","E","CAMERON ROAD","2834466","18/04/2008","Fri","0040","CAR1 WBD on EIGHTEENTH AVENUE lost control; went off road to left, CAR1 hit Parked Vehicle","CAR1 alcohol test above limit or test refused, attention diverted by cigarette etc  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","0","1877720","5821851",
"EIGHTEENTH AVENUE","20","E","DEVONPORT ROAD","201033086","07/03/2010","Sun","1300","CAR1 EBD on EIGHTEENTH AVENUE hit Parked Vehicle while manoeuvring","CAR1 didnt see/look behind when reversing/manoeuvering","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1877876","5821720",
"EIGHTEENTH AVENUE","","I","DEVONPORT ROAD","2831792","13/02/2008","Wed","0915","CAR1 WBD on EIGHTEENTH AVENUE overtaking hit VAN2 turning right","CAR1 overtaking  VAN2 failed to signal in time","Dry","Bright Sun","Fine","T Type Junction","Nil","0","0","0","1877860","5821732",
"EIGHTEENTH AVENUE","40","E","FRASER ST","201202791","14/06/2012","Thu","1940","CAR1 EBD on EIGHTEENTH AVENUE hit parked veh, CAR1 hit Parked Vehicle","CAR1 too far left/right, attention diverted by cigarette etc","Dry","Dark","Fine","Unknown","N/A","0","0","1","1878102","5821528",
"EIGHTEENTH AVENUE","","I","FRASER ST","201239873","26/10/2012","Fri","1621","SUV1 WBD on EIGHTEENTH AVENUE hit rear end of VAN2 stop/slow for cross traffic","SUV1 following too closely, failed to notice car slowing, misjudged intentions of another party","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","0","0","1878072","5821554",
"EIVERS ROAD","5","S","AMBER GROVE","2842632","21/10/2008","Tue","0945","CAR1 NBD on EIVERS ROAD overtaking CAR2 ","CAR1 emotionally upset/road rage, intentional or criminal  CAR2 emotionally upset/road rage, intentional or criminal","Dry","Bright Sun","Fine","T Type Junction","Nil","0","0","0","1949842","5791758",
"EIVERS ROAD","","I","BARRY AVENUE","201135523","18/06/2011","Sat","0400","SUV1 WBD on BARRY AVENUE lost control turning left, SUV1 hit Kerb","SUV1 alcohol test above limit or test refused, too fast entering corner, lost control when turning  ENV: heavy rain","Wet","Dark","Heavy Rain","T Type Junction","Nil","0","0","0","1949858","5792111",
"EIVERS ROAD","30","N","HIKURANGI ST","2902355","14/04/2009","Tue","","CAR1 NBD on EIVERS ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 stepped out from behind vehicle","Dry","Twilight","Fine","Unknown","N/A","0","0","1","1949828","5791470",
"EIVERS ROAD","","I","HIKURANGI ST","2830805","18/01/2008","Fri","1844","CAR2 turning right hit by oncoming SUV1 NBD on EIVERS ROAD ","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when visibility obstructed by other vehicles","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","0","0","1949826","5791440",
"EIVERS ROAD","","I","HIKURANGI ST","201033584","07/04/2010","Wed","0825","CAR1 SBD on EIVERS ROAD hit CAR2 merging from the right","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","0","0","1949826","5791440",
