"meshblockID" "REGC06" "CON06" "MCON06" "AU06" "UA06" "GED02" "MED02" "TA06V2" "WARD06V2" "CB06V2" "TASUB06V2" "urbanRuralGrade" "mainUrbanArea" "code" "urbanRural" "area" "roadLength" "MB01" "AU06D" "UA06D" "TA06" "TA06D" "RC06" "RC06D" "DHB" "DHBD" "population" "X0.4.Years" "X10.14.Years" "X15.19.Years" "X20.24.Years" "X25.29.Years" "X30.34.Years" "X35.39.Years" "X40.44.Years" "X45.49.Years" "X50.54.Years" "X55.59.Years" "X5.9.Years" "X60.64.Years" "X65.Years.and.Over" "Asian.Ethnic.Groups" "European.Ethnic.Groups" "Female" "Male" "Maori.Ethnic.Group" "Median.Age" "MELAA.Ethnic.Groups" "Other.Ethnic.Groups" "Pacific.Peoples..Ethnic.Groups" "Total" "Total.People"
1304301 "04" "0404" "0403" "542100" "501" "012" "7" "025" "02503" "02502" "02599" "Rural area with low urban influence" "" "F" "rural" 0.0336651547963953 0.579449037295491 1304300 "Taneatua" "Rural Centre" 25 "Whakatane District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 51 6 9 6 0 3 6 6 9 3 3 3 0 3 3 0 18 24 24 18 34 0 3 0 99 30
1248400 "04" "0403" "0402" "538601" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.22965844017611 0.056827812421986 NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 6
1248200 "04" "0403" "0402" "538601" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.102442534233611 0.845447279495734 NA NA NA NA NA NA NA NA NA 102 12 9 9 3 6 6 9 9 3 6 15 9 6 6 0 42 57 48 45 34 3 6 6 210 99
1304100 "04" "0404" "0403" "542100" "501" "012" "7" "025" "02503" "02502" "02599" "Rural area with moderate urban influence" "" "E" "rural" 0.0516413180351284 0.296732304625611 1304100 "Taneatua" "Rural Centre" 25 "Whakatane District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 144 18 18 15 6 9 6 15 12 12 6 3 15 3 12 0 15 78 69 117 27 0 0 3 288 123
1326112 "04" "0404" "0403" "542600" "239" "048" "7" "026" "02699" "02699" "02699" "Independent Urban Area" "" "B" "urban" 1.00665850745564 0.338379839830617 1326112 "Kawerau" "Kawerau" 26 "Kawerau District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0
1252000 "04" "0403" "0402" "538820" "502" "048" "7" "024" "02401" "02499" "02499" "Rural area with high urban influence" "" "D" "rural" 42.6290661870625 9.31959346346176 1252000 "Tikitere" "Rural (Incl.some Off Shore Islands)" 24 "Rotorua District" 4 "Bay of Plenty Region" 6 "Lakes" 207 15 21 15 6 6 15 21 15 12 15 24 15 12 15 0 165 99 111 39 36 0 27 9 417 195
1295200 "04" "0404" "0403" "542562" "502" "012" "7" "025" "02503" "02502" "02599" "Rural area with low urban influence" "" "F" "rural" 25.4290950265207 18.4248814214278 1295200 "Urewera" "Rural (Incl.some Off Shore Islands)" 25 "Whakatane District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 48 3 3 6 3 3 0 3 6 6 3 3 6 0 0 0 39 24 24 12 26 0 3 6 96 45
1299103 "04" "0404" "0403" "542562" "502" "012" "7" "025" "02503" "02502" "02599" "Rural area with moderate urban influence" "" "E" "rural" 4.71685066646626 5.41456474968534 1299101 "Urewera" "Rural (Incl.some Off Shore Islands)" 25 "Whakatane District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 48 3 6 6 6 3 3 0 3 9 3 0 3 0 6 0 33 18 30 15 40 3 9 3 99 48
1134000 "03" "0309" "0399" "535261" "502" "051" "4" "019" "01902" "01999" "01999" "Rural area with low urban influence" "" "F" "rural" 18.2113762397517 17.8265559010765 1134000 "Lichfield" "Rural (Incl.some Off Shore Islands)" 19 "South Waikato District" 3 "Waikato Region" 5 "Waikato" 51 3 6 0 0 9 3 3 6 3 3 3 9 3 3 0 42 24 27 6 30 0 6 0 102 48
1266300 "04" "0403" "0402" "538863" "502" "048" "7" "024" "02402" "02499" "02499" "Rural area with high urban influence" "" "D" "rural" 13.9494642245305 8.51997548454296 1266300 "Waiwhero" "Rural (Incl.some Off Shore Islands)" 24 "Rotorua District" 4 "Bay of Plenty Region" 6 "Lakes" 72 9 9 6 3 6 6 9 3 3 3 3 6 6 0 0 51 33 39 27 28 0 6 0 144 72
