"meshblockID" "urbanRuralGrade" "code" "urbanRural"
1319400 "Independent Urban Area" "B" "urban"
1220002 "Main urban area" "A" "urban"
774450 "Main urban area" "A" "urban"
1220300 "Main urban area" "A" "urban"
1059910 "Independent Urban Area" "B" "urban"
1319500 "Independent Urban Area" "B" "urban"
754000 "Main urban area" "A" "urban"
753302 "Main urban area" "A" "urban"
771600 "Main urban area" "A" "urban"
774420 "Main urban area" "A" "urban"
753303 "Main urban area" "A" "urban"
772903 "Main urban area" "A" "urban"
1219700 "Main urban area" "A" "urban"
1220001 "Main urban area" "A" "urban"
1587917 "Area outside urban/rural profile" "Z" NA
1385901 "Main urban area" "A" "urban"
1280102 "Rural area with moderate urban influence" "E" "rural"
1280101 "Rural area with moderate urban influence" "E" "rural"
775814 "Main urban area" "A" "urban"
1359002 "Main urban area" "A" "urban"
1059314 "Independent Urban Area" "B" "urban"
1365000 "Rural area with high urban influence" "D" "rural"
951600 "Main urban area" "A" "urban"
1385200 "Main urban area" "A" "urban"
949000 "Main urban area" "A" "urban"
1385300 "Main urban area" "A" "urban"
1096600 "Highly rural/remote area" "G" "rural"
951500 "Main urban area" "A" "urban"
1108700 "Rural area with moderate urban influence" "E" "rural"
1096800 "Rural area with low urban influence" "F" "rural"
948802 "Main urban area" "A" "urban"
1096700 "Highly rural/remote area" "G" "rural"
1385401 "Main urban area" "A" "urban"
1385403 "Main urban area" "A" "urban"
1096900 "Rural area with low urban influence" "F" "rural"
1109100 "Rural area with low urban influence" "F" "rural"
2658300 "Main urban area" "A" "urban"
2813300 "Highly rural/remote area" "G" "rural"
2580304 "Main urban area" "A" "urban"
2616000 "Main urban area" "A" "urban"
2498200 "Main urban area" "A" "urban"
2616200 "Main urban area" "A" "urban"
2616100 "Main urban area" "A" "urban"
2581100 "Main urban area" "A" "urban"
2582503 "Main urban area" "A" "urban"
2617601 "Main urban area" "A" "urban"
2592300 "Main urban area" "A" "urban"
2488101 "Main urban area" "A" "urban"
2476400 "Main urban area" "A" "urban"
2623600 "Main urban area" "A" "urban"
2623500 "Main urban area" "A" "urban"
2616800 "Main urban area" "A" "urban"
2658200 "Main urban area" "A" "urban"
2581200 "Main urban area" "A" "urban"
2582600 "Main urban area" "A" "urban"
2659200 "Main urban area" "A" "urban"
2783700 "Independent Urban Area" "B" "urban"
3175801 "Highly rural/remote area" "G" "rural"
2783900 "Independent Urban Area" "B" "urban"
2784900 "Independent Urban Area" "B" "urban"
2784000 "Independent Urban Area" "B" "urban"
2783800 "Independent Urban Area" "B" "urban"
2364600 "Main urban area" "A" "urban"
2783100 "Independent Urban Area" "B" "urban"
2213500 "Main urban area" "A" "urban"
2781700 "Independent Urban Area" "B" "urban"
2213700 "Main urban area" "A" "urban"
2212200 "Main urban area" "A" "urban"
2211900 "Main urban area" "A" "urban"
2365001 "Main urban area" "A" "urban"
2362000 "Main urban area" "A" "urban"
2175200 "Main urban area" "A" "urban"
2782000 "Independent Urban Area" "B" "urban"
2778402 "Independent Urban Area" "B" "urban"
2908400 "Main urban area" "A" "urban"
2902300 "Main urban area" "A" "urban"
2349600 "Highly rural/remote area" "G" "rural"
1864100 "Independent Urban Area" "B" "urban"
2905202 "Main urban area" "A" "urban"
1862700 "Independent Urban Area" "B" "urban"
1860100 "Independent Urban Area" "B" "urban"
2869000 "Main urban area" "A" "urban"
1871102 "Independent Urban Area" "B" "urban"
2223300 "Highly rural/remote area" "G" "rural"
2365002 "Main urban area" "A" "urban"
2942400 "Main urban area" "A" "urban"
1861100 "Independent Urban Area" "B" "urban"
1863400 "Independent Urban Area" "B" "urban"
2357900 "Main urban area" "A" "urban"
2908300 "Main urban area" "A" "urban"
2528501 "Main urban area" "A" "urban"
1863900 "Independent Urban Area" "B" "urban"
1860900 "Independent Urban Area" "B" "urban"
2905400 "Main urban area" "A" "urban"
2515203 "Main urban area" "A" "urban"
1860004 "Independent Urban Area" "B" "urban"
1861900 "Independent Urban Area" "B" "urban"
2868900 "Main urban area" "A" "urban"
2515106 "Main urban area" "A" "urban"
1863100 "Independent Urban Area" "B" "urban"
1854602 "Independent Urban Area" "B" "urban"
89900 "Main urban area" "A" "urban"
2515201 "Main urban area" "A" "urban"
1860005 "Independent Urban Area" "B" "urban"
1863600 "Independent Urban Area" "B" "urban"
145100 "Rural area with low urban influence" "F" "rural"
